borrower_id,num_active_loans,total_outstanding_balance,num_loans_past_due,max_days_past_due,num_past_defaults,most_recent_default_date,months_since_last_default
1,3,1973.00,0,0,0,,
2,3,1455.00,1,5,0,,
3,2,529.00,1,139,1,2026-03-03,2
4,2,566.00,0,0,0,,
5,3,3000.00,2,120,2,2024-03-11,25
6,2,3660.00,1,180,2,2024-05-28,23
7,2,8937.00,1,300,1,2024-01-15,27
8,2,2468.00,1,30,0,,
9,2,2518.00,1,15,0,,
10,2,794.00,2,141,1,2024-08-30,20
11,2,750.00,1,45,1,2024-09-30,19
12,2,1878.00,1,90,1,2024-09-20,19
13,2,18444.00,0,0,0,,
14,2,5376.00,0,0,0,,
15,2,14000.00,0,0,0,,
16,2,2885.00,0,0,0,,
17,2,4500.00,0,0,0,,
18,2,219.00,0,0,0,,
19,2,2666.00,2,215,0,,
20,2,230.00,0,0,0,,
21,2,766.00,1,90,1,2024-08-10,20
22,2,1019.00,1,75,2,2024-08-30,20
23,2,1883.00,1,60,1,2024-09-01,20
24,2,1467.00,1,30,2,2024-09-20,19
25,2,10000.00,0,0,0,,
26,2,6569.00,0,0,1,,
27,2,2381.00,0,0,0,,
28,2,3941.00,1,79,1,,
29,2,1735.00,0,0,1,2026-03-10,1
30,2,1721.00,1,203,0,,
31,2,717.00,1,30,1,2024-10-15,18
32,2,3584.00,1,45,0,,
33,1,965.00,0,0,1,,
34,1,697.00,0,0,0,,
35,1,739.00,0,0,0,,
36,1,758.00,0,0,0,,
37,1,0.00,0,0,0,,
38,1,399.00,0,0,0,,
39,1,0.00,1,149,0,,
40,1,0.00,0,0,0,,
41,2,307.00,0,0,0,,
42,2,15203.00,0,0,0,,
43,2,25790.00,1,10,0,,
44,2,1297.00,1,30,1,2024-10-01,19
45,2,25887.00,0,0,0,,
46,2,882.00,0,0,0,,
47,2,20218.00,1,36,0,,
48,2,4000.00,0,0,0,,
49,2,3079.00,1,180,2,2024-07-30,21
50,2,1200.00,1,150,1,2024-05-22,23
