borrower_id,avg_monthly_volume,avg_transaction_frequency,avg_airtime_topup_consistency
1,0.000000,1.0000,44.5200000000
2,0.000000,1.0000,
3,0.000000,1.0000,
4,0.000000,1.0000,187.3500000000
5,0.000000,1.0000,
6,0.000000,1.0000,359.6000000000
7,475.000000,1.0000,
8,278.620000,1.0000,
9,478.880000,1.0000,
10,137.930000,1.0000,
11,0.000000,1.0000,
12,0.000000,1.0000,
13,0.000000,1.0000,201.8000000000
14,0.000000,1.0000,
15,0.000000,1.0000,
16,52.330000,1.0000,
17,0.000000,1.0000,
18,0.000000,1.0000,
19,0.000000,1.0000,351.9300000000
20,0.000000,1.0000,
21,0.000000,1.0000,
22,0.000000,1.0000,57.7300000000
23,0.000000,1.0000,
24,72.280000,1.0000,
25,0.000000,1.0000,
26,0.000000,1.0000,
27,104.790000,1.0000,
28,298.670000,1.0000,
29,0.000000,1.0000,
30,0.000000,1.0000,
31,0.000000,1.0000,
32,0.000000,1.0000,
33,143.620000,1.0000,
34,424.060000,1.0000,
35,0.000000,1.0000,
36,0.000000,1.0000,
37,0.000000,1.0000,
38,0.000000,1.0000,
39,0.000000,1.0000,375.4800000000
40,0.000000,1.0000,504.4700000000
41,0.000000,1.0000,
42,404.060000,1.0000,
43,0.000000,1.0000,363.7300000000
44,233.060000,1.0000,
45,0.000000,1.0000,
46,0.000000,1.0000,
47,121.220000,1.0000,
48,0.000000,1.0000,
49,359.760000,1.0000,
50,85.380000,1.0000,
