borrower_id,utility_type,total_bills,on_time_payments,avg_days_late,num_disconnections
2,electricity,1,1,-123.0000,0
3,electricity,1,0,33.0000,0
6,electricity,1,0,59.0000,0
7,water,1,0,45.0000,1
11,water,1,1,-127.0000,1
12,water,1,1,-23.0000,0
15,water,1,0,154.0000,0
18,electricity,1,0,101.0000,0
22,electricity,1,0,129.0000,1
23,electricity,1,1,-56.0000,0
24,water,1,1,-175.0000,0
25,electricity,1,0,2.0000,0
26,electricity,1,1,-83.0000,0
28,electricity,1,1,-78.0000,0
31,electricity,1,1,-1.0000,0
38,electricity,1,1,-217.0000,0
39,water,1,1,-79.0000,0
41,electricity,1,0,,0
42,electricity,1,0,,1
43,water,1,1,-142.0000,0
44,electricity,1,0,,0
50,electricity,1,0,,1
