inquiry_id,borrower_id,lender_id,inquiry_date,inquiry_type,requested_amount,created_at
1,41,9,2025-06-30,soft,15272.00,2026-05-02 07:13:55
2,42,3,2025-11-08,soft,10064.00,2026-05-02 07:13:55
3,43,9,2025-07-28,hard,4443.00,2026-05-02 07:13:55
4,44,10,2025-06-16,soft,18555.00,2026-05-02 07:13:55
5,45,16,2026-01-30,soft,14051.00,2026-05-02 07:13:55
6,46,15,2025-09-26,soft,6124.00,2026-05-02 07:13:55
7,47,20,2025-05-20,soft,12070.00,2026-05-02 07:13:55
8,48,5,2025-12-02,hard,13758.00,2026-05-02 07:13:55
9,49,4,2025-06-20,soft,10968.00,2026-05-02 07:13:55
10,50,3,2026-03-15,hard,17279.00,2026-05-02 07:13:55
11,1,9,2025-08-08,hard,8004.00,2026-05-02 07:13:55
12,2,19,2025-10-20,soft,15316.00,2026-05-02 07:13:55
13,3,3,2026-01-19,hard,14842.00,2026-05-02 07:13:55
14,4,5,2026-04-05,hard,19775.00,2026-05-02 07:13:55
15,5,19,2025-09-11,hard,10158.00,2026-05-02 07:13:55
16,6,20,2025-12-01,hard,11928.00,2026-05-02 07:13:55
17,7,8,2026-03-24,hard,18321.00,2026-05-02 07:13:55
18,8,3,2025-05-15,hard,7554.00,2026-05-02 07:13:55
19,9,9,2025-05-03,soft,16677.00,2026-05-02 07:13:55
20,10,16,2025-12-16,hard,17897.00,2026-05-02 07:13:55
21,11,12,2026-03-12,hard,17383.00,2026-05-02 07:13:55
22,12,2,2025-07-24,hard,2422.00,2026-05-02 07:13:55
23,13,9,2025-06-20,hard,12404.00,2026-05-02 07:13:55
24,14,18,2025-10-27,soft,8131.00,2026-05-02 07:13:55
25,15,20,2025-09-12,hard,13677.00,2026-05-02 07:13:55
26,16,8,2025-07-18,soft,2409.00,2026-05-02 07:13:55
27,17,16,2025-08-21,hard,8087.00,2026-05-02 07:13:55
28,18,13,2025-05-25,soft,8477.00,2026-05-02 07:13:55
29,19,10,2026-03-12,hard,2313.00,2026-05-02 07:13:55
30,20,11,2025-11-18,hard,16357.00,2026-05-02 07:13:55
31,21,2,2025-05-07,soft,12600.00,2026-05-02 07:13:55
32,22,18,2025-09-19,hard,6388.00,2026-05-02 07:13:55
33,23,4,2026-04-20,hard,20147.00,2026-05-02 07:13:55
34,24,2,2025-12-20,hard,2527.00,2026-05-02 07:13:55
35,25,12,2025-09-12,hard,4648.00,2026-05-02 07:13:55
36,26,16,2026-02-19,soft,19040.00,2026-05-02 07:13:55
37,27,11,2025-07-08,hard,3984.00,2026-05-02 07:13:55
38,28,6,2025-05-17,soft,13903.00,2026-05-02 07:13:55
39,29,13,2026-03-29,hard,15723.00,2026-05-02 07:13:55
40,30,20,2025-09-21,hard,16397.00,2026-05-02 07:13:55
41,31,12,2025-09-30,hard,20309.00,2026-05-02 07:13:55
42,32,11,2025-10-17,hard,7542.00,2026-05-02 07:13:55
43,33,4,2025-07-04,hard,11538.00,2026-05-02 07:13:55
44,34,19,2026-04-18,hard,16342.00,2026-05-02 07:13:55
45,35,17,2025-08-24,hard,20245.00,2026-05-02 07:13:55
46,36,19,2025-10-15,hard,10066.00,2026-05-02 07:13:55
47,37,7,2026-02-26,soft,2362.00,2026-05-02 07:13:55
48,38,14,2026-03-05,soft,4388.00,2026-05-02 07:13:55
49,39,16,2026-01-28,soft,3479.00,2026-05-02 07:13:55
50,40,16,2025-10-28,hard,7395.00,2026-05-02 07:13:55
