borrower_id,credit_score,score_date,model_version,default_probability,created_at
1,615,2026-05-02,v1.0,0.1387,2026-05-02 07:13:56
2,835,2026-05-02,v1.0,0.4485,2026-05-02 07:13:56
3,478,2026-05-02,v1.0,0.2725,2026-05-02 07:13:56
4,516,2026-05-02,v1.0,0.1422,2026-05-02 07:13:56
5,594,2026-05-02,v1.0,0.2483,2026-05-02 07:13:56
6,650,2026-05-02,v1.0,0.4382,2026-05-02 07:13:56
7,455,2026-05-02,v1.0,0.0905,2026-05-02 07:13:56
8,635,2026-05-02,v1.0,0.7754,2026-05-02 07:13:56
9,327,2026-05-02,v1.0,0.9180,2026-05-02 07:13:56
10,544,2026-05-02,v1.0,0.4634,2026-05-02 07:13:56
11,843,2026-05-02,v1.0,0.5433,2026-05-02 07:13:56
12,716,2026-05-02,v1.0,0.1517,2026-05-02 07:13:56
13,569,2026-05-02,v1.0,0.9921,2026-05-02 07:13:56
14,571,2026-05-02,v1.0,0.4858,2026-05-02 07:13:56
15,823,2026-05-02,v1.0,0.3004,2026-05-02 07:13:56
16,656,2026-05-02,v1.0,0.3355,2026-05-02 07:13:56
17,705,2026-05-02,v1.0,0.6714,2026-05-02 07:13:56
18,383,2026-05-02,v1.0,0.7371,2026-05-02 07:13:56
19,429,2026-05-02,v1.0,0.9614,2026-05-02 07:13:56
20,357,2026-05-02,v1.0,0.6334,2026-05-02 07:13:56
21,771,2026-05-02,v1.0,0.3813,2026-05-02 07:13:56
22,486,2026-05-02,v1.0,0.5436,2026-05-02 07:13:56
23,688,2026-05-02,v1.0,0.8973,2026-05-02 07:13:56
24,503,2026-05-02,v1.0,0.1567,2026-05-02 07:13:56
25,671,2026-05-02,v1.0,0.9006,2026-05-02 07:13:56
26,564,2026-05-02,v1.0,0.7019,2026-05-02 07:13:56
27,337,2026-05-02,v1.0,0.2312,2026-05-02 07:13:56
28,825,2026-05-02,v1.0,0.0754,2026-05-02 07:13:56
29,584,2026-05-02,v1.0,0.3524,2026-05-02 07:13:56
30,418,2026-05-02,v1.0,0.0164,2026-05-02 07:13:56
31,541,2026-05-02,v1.0,0.1403,2026-05-02 07:13:56
32,513,2026-05-02,v1.0,0.5179,2026-05-02 07:13:56
33,534,2026-05-02,v1.0,0.5767,2026-05-02 07:13:56
34,633,2026-05-02,v1.0,0.2961,2026-05-02 07:13:56
35,666,2026-05-02,v1.0,0.4358,2026-05-02 07:13:56
36,402,2026-05-02,v1.0,0.6157,2026-05-02 07:13:56
37,589,2026-05-02,v1.0,0.7767,2026-05-02 07:13:56
38,470,2026-05-02,v1.0,0.2153,2026-05-02 07:13:56
39,382,2026-05-02,v1.0,0.1006,2026-05-02 07:13:56
40,330,2026-05-02,v1.0,0.9740,2026-05-02 07:13:56
41,714,2026-05-02,v1.0,0.4205,2026-05-02 07:13:56
42,764,2026-05-02,v1.0,0.9524,2026-05-02 07:13:56
43,428,2026-05-02,v1.0,0.3103,2026-05-02 07:13:56
44,768,2026-05-02,v1.0,0.3244,2026-05-02 07:13:56
45,338,2026-05-02,v1.0,0.3701,2026-05-02 07:13:56
46,655,2026-05-02,v1.0,0.1126,2026-05-02 07:13:56
47,646,2026-05-02,v1.0,0.8090,2026-05-02 07:13:56
48,386,2026-05-02,v1.0,0.3568,2026-05-02 07:13:56
49,472,2026-05-02,v1.0,0.4976,2026-05-02 07:13:56
50,601,2026-05-02,v1.0,0.2430,2026-05-02 07:13:56
