loan_id,borrower_id,lender_id,origination_date,original_amount,current_outstanding_balance,interest_rate,tenor_months,loan_status,days_past_due,default_date,closed_date,created_at
1,1,1,2023-01-10,5000.00,0.00,12.50,12,paid,0,,2024-01-10,2026-05-02 07:13:55
2,1,2,2024-02-15,3000.00,1500.00,15.00,6,active,0,,,2026-05-02 07:13:55
3,2,3,2023-05-20,10000.00,0.00,10.00,24,paid,0,,2025-05-20,2026-05-02 07:13:55
4,2,4,2024-03-10,2000.00,500.00,18.00,4,active,5,,,2026-05-02 07:13:55
5,3,5,2023-08-01,7500.00,0.00,11.00,18,paid,0,,2025-02-01,2026-05-02 07:13:55
6,4,6,2024-01-25,1500.00,0.00,20.00,3,paid,0,,2024-04-25,2026-05-02 07:13:55
7,5,7,2023-11-11,2000.00,2000.00,22.00,6,default,120,2024-03-11,,2026-05-02 07:13:55
8,5,8,2024-06-01,1000.00,1000.00,25.00,4,default,45,2024-07-16,,2026-05-02 07:13:55
9,6,9,2024-02-28,3000.00,3000.00,30.00,3,default,180,2024-05-28,,2026-05-02 07:13:55
10,7,10,2023-09-15,8000.00,8000.00,27.00,12,default,300,2024-01-15,,2026-05-02 07:13:55
11,8,11,2024-05-20,2500.00,1500.00,19.00,5,active,30,,,2026-05-02 07:13:55
12,9,12,2024-03-05,4000.00,2000.00,14.00,8,active,15,,,2026-05-02 07:13:55
13,10,9,2024-07-01,500.00,500.00,35.00,1,default,60,2024-08-30,,2026-05-02 07:13:55
14,11,10,2024-08-15,750.00,750.00,40.00,2,default,45,2024-09-30,,2026-05-02 07:13:55
15,12,11,2024-06-20,1200.00,1200.00,33.00,2,default,90,2024-09-20,,2026-05-02 07:13:55
16,13,1,2025-01-05,20000.00,18000.00,9.50,36,active,0,,,2026-05-02 07:13:55
17,14,2,2025-02-10,5000.00,4500.00,12.00,12,active,0,,,2026-05-02 07:13:55
18,15,3,2025-01-20,15000.00,14000.00,10.00,24,active,0,,,2026-05-02 07:13:55
19,41,1,2023-10-01,100000.00,0.00,8.50,60,paid,0,,2024-09-30,2026-05-02 07:13:55
20,42,2,2024-04-15,25000.00,15000.00,10.00,24,active,0,,,2026-05-02 07:13:55
21,43,3,2023-12-10,50000.00,25000.00,9.00,36,active,10,,,2026-05-02 07:13:55
22,44,9,2024-09-01,1000.00,1000.00,45.00,1,default,30,2024-10-01,,2026-05-02 07:13:55
23,16,4,2024-11-01,3500.00,2500.00,16.00,7,active,0,,,2026-05-02 07:13:55
24,17,5,2024-12-15,4500.00,4500.00,22.00,9,active,0,,,2026-05-02 07:13:55
25,18,6,2024-10-10,2000.00,0.00,18.00,4,paid,0,,2025-02-10,2026-05-02 07:13:55
26,19,7,2024-08-05,6000.00,2000.00,15.00,12,active,2,,,2026-05-02 07:13:55
27,20,8,2024-07-22,800.00,0.00,28.00,2,paid,0,,2024-09-22,2026-05-02 07:13:55
28,21,9,2024-05-10,400.00,400.00,40.00,1,default,90,2024-08-10,,2026-05-02 07:13:55
29,22,10,2024-06-15,600.00,600.00,38.00,2,default,75,2024-08-30,,2026-05-02 07:13:55
30,23,11,2024-07-01,900.00,900.00,35.00,1,default,60,2024-09-01,,2026-05-02 07:13:55
31,24,12,2024-08-20,1100.00,1100.00,32.00,2,default,30,2024-09-20,,2026-05-02 07:13:55
32,25,1,2025-01-15,12000.00,10000.00,10.50,24,active,0,,,2026-05-02 07:13:55
33,26,2,2025-02-01,7000.00,6000.00,11.00,18,active,0,,,2026-05-02 07:13:55
34,27,3,2025-01-25,2500.00,1500.00,13.00,6,active,0,,,2026-05-02 07:13:55
35,28,4,2025-03-01,3500.00,3500.00,14.00,8,active,0,,,2026-05-02 07:13:55
36,29,5,2025-02-20,1800.00,900.00,17.00,4,active,0,,,2026-05-02 07:13:55
