application_id,borrower_id,lender_id,application_date,requested_amount,requested_tenor,loan_purpose,declared_income,application_status,rejection_reason,created_at
1,41,14,2026-03-18 07:13:56,6252.00,9,education,11015.00,rejected,,2026-05-02 07:13:56
2,42,12,2025-11-22 07:13:56,16149.00,3,medical,2705.00,approved,,2026-05-02 07:13:56
3,43,20,2026-03-05 07:13:56,14951.00,8,consumption,1640.00,approved,Insufficient credit history,2026-05-02 07:13:56
4,44,19,2026-04-08 07:13:56,19604.00,5,consumption,13543.00,approved,,2026-05-02 07:13:56
5,45,3,2025-11-24 07:13:56,2919.00,12,business,14182.00,approved,,2026-05-02 07:13:56
6,46,1,2026-01-30 07:13:56,9186.00,8,consumption,7953.00,approved,Insufficient credit history,2026-05-02 07:13:56
7,47,8,2026-01-29 07:13:56,10779.00,1,education,11791.00,rejected,,2026-05-02 07:13:56
8,48,18,2026-02-07 07:13:56,13583.00,11,business,2243.00,approved,,2026-05-02 07:13:56
9,49,20,2026-03-09 07:13:56,12931.00,3,emergency,14755.00,approved,,2026-05-02 07:13:56
10,50,12,2025-12-06 06:13:56,8341.00,6,business,12700.00,approved,,2026-05-02 07:13:56
11,1,17,2025-12-24 07:13:56,3148.00,7,emergency,3641.00,approved,,2026-05-02 07:13:56
12,2,11,2026-03-25 07:13:56,11430.00,2,medical,11343.00,approved,,2026-05-02 07:13:56
13,3,9,2026-04-23 07:13:56,1300.00,1,emergency,5619.00,approved,,2026-05-02 07:13:56
14,4,12,2026-03-01 07:13:56,1564.00,3,emergency,5574.00,approved,,2026-05-02 07:13:56
15,5,20,2026-01-01 07:13:56,10677.00,7,emergency,10543.00,approved,,2026-05-02 07:13:56
16,6,4,2026-02-27 07:13:56,6715.00,6,education,15297.00,approved,,2026-05-02 07:13:56
17,7,18,2026-04-30 07:13:56,10248.00,5,education,4800.00,rejected,Insufficient credit history,2026-05-02 07:13:56
18,8,13,2025-12-27 07:13:56,14328.00,5,medical,7525.00,approved,Insufficient credit history,2026-05-02 07:13:56
19,9,3,2026-02-10 07:13:56,17571.00,11,emergency,6174.00,approved,,2026-05-02 07:13:56
20,10,12,2025-12-06 06:13:56,9828.00,11,consumption,14293.00,rejected,,2026-05-02 07:13:56
21,11,4,2026-04-21 07:13:56,15072.00,6,emergency,15520.00,approved,,2026-05-02 07:13:56
22,12,16,2025-12-06 07:13:56,16359.00,7,emergency,3311.00,approved,,2026-05-02 07:13:56
23,13,19,2026-02-25 07:13:56,2179.00,4,business,11491.00,approved,,2026-05-02 07:13:56
24,14,14,2026-04-14 07:13:56,9543.00,12,education,4654.00,rejected,,2026-05-02 07:13:56
25,15,7,2025-12-17 07:13:56,17041.00,11,consumption,10049.00,approved,,2026-05-02 07:13:56
26,16,19,2026-01-14 07:13:56,5005.00,4,consumption,8487.00,rejected,,2026-05-02 07:13:56
27,17,5,2026-01-02 07:13:56,12562.00,1,business,5085.00,approved,Insufficient credit history,2026-05-02 07:13:56
28,18,11,2026-02-21 07:13:56,9365.00,1,consumption,4968.00,approved,,2026-05-02 07:13:56
29,19,4,2026-04-28 07:13:56,10985.00,7,emergency,5720.00,pending,Insufficient credit history,2026-05-02 07:13:56
30,20,3,2026-02-10 06:13:56,20303.00,7,consumption,11712.00,rejected,,2026-05-02 07:13:56
31,21,15,2026-03-03 07:13:56,11857.00,10,education,11220.00,approved,,2026-05-02 07:13:56
32,22,4,2026-02-25 07:13:56,7037.00,7,medical,10730.00,approved,,2026-05-02 07:13:56
33,23,2,2026-01-24 07:13:56,10903.00,12,business,7562.00,approved,,2026-05-02 07:13:56
34,24,20,2025-11-19 07:13:56,14304.00,9,education,6658.00,approved,,2026-05-02 07:13:56
35,25,11,2026-01-28 07:13:56,20114.00,5,medical,11229.00,approved,,2026-05-02 07:13:56
36,26,2,2026-01-15 07:13:56,15406.00,12,education,7368.00,rejected,,2026-05-02 07:13:56
37,27,6,2025-11-21 07:13:56,13624.00,7,consumption,13674.00,approved,,2026-05-02 07:13:56
38,28,18,2025-12-08 07:13:56,8420.00,7,medical,6429.00,rejected,,2026-05-02 07:13:56
39,29,16,2026-04-14 07:13:56,4095.00,8,education,5670.00,approved,,2026-05-02 07:13:56
40,30,2,2026-02-02 06:13:56,7112.00,2,medical,6820.00,approved,Insufficient credit history,2026-05-02 07:13:56
41,31,3,2026-01-19 07:13:56,11069.00,11,consumption,3734.00,rejected,,2026-05-02 07:13:56
42,32,18,2026-02-24 07:13:56,6166.00,4,medical,3402.00,rejected,,2026-05-02 07:13:56
43,33,12,2026-03-07 07:13:56,18105.00,6,medical,15457.00,rejected,,2026-05-02 07:13:56
44,34,5,2026-04-09 07:13:56,20015.00,6,education,15255.00,approved,,2026-05-02 07:13:56
45,35,14,2026-03-21 07:13:56,2955.00,11,emergency,4459.00,approved,,2026-05-02 07:13:56
46,36,3,2026-04-02 07:13:56,9135.00,8,consumption,14996.00,rejected,,2026-05-02 07:13:56
47,37,9,2026-03-20 07:13:56,18032.00,8,medical,7630.00,approved,,2026-05-02 07:13:56
48,38,14,2026-03-31 07:13:56,16750.00,7,emergency,7175.00,approved,Insufficient credit history,2026-05-02 07:13:56
49,39,20,2025-12-16 07:13:56,16710.00,10,education,12388.00,approved,,2026-05-02 07:13:56
50,40,18,2025-12-18 06:13:56,5046.00,11,medical,9360.00,rejected,,2026-05-02 07:13:56
