payment_id,loan_id,payment_date,amount_paid,principal_part,interest_part,created_at
1,1,2023-02-09,416.67,370.37,46.30,2026-05-02 07:13:55
2,2,2024-03-16,500.00,434.78,65.22,2026-05-02 07:13:55
3,3,2023-06-19,416.67,378.79,37.88,2026-05-02 07:13:55
4,4,2024-04-09,500.00,423.73,76.27,2026-05-02 07:13:55
5,5,2023-08-31,416.67,375.38,41.29,2026-05-02 07:13:55
6,6,2024-02-24,500.00,416.67,83.33,2026-05-02 07:13:55
7,11,2024-06-19,500.00,420.17,79.83,2026-05-02 07:13:55
8,12,2024-04-04,500.00,438.60,61.40,2026-05-02 07:13:55
9,16,2025-02-04,555.56,507.36,48.20,2026-05-02 07:13:55
10,17,2025-03-12,416.67,372.02,44.65,2026-05-02 07:13:55
11,18,2025-02-19,625.00,568.18,56.82,2026-05-02 07:13:55
12,19,2023-10-31,1666.67,1536.10,130.57,2026-05-02 07:13:55
13,20,2024-05-15,1041.67,946.97,94.70,2026-05-02 07:13:55
14,21,2024-01-09,1388.89,1274.21,114.68,2026-05-02 07:13:55
15,23,2024-12-01,500.00,431.03,68.97,2026-05-02 07:13:55
16,24,2025-01-14,500.00,409.84,90.16,2026-05-02 07:13:55
17,25,2024-11-09,500.00,423.73,76.27,2026-05-02 07:13:55
18,26,2024-09-04,500.00,434.78,65.22,2026-05-02 07:13:55
19,27,2024-08-21,400.00,312.50,87.50,2026-05-02 07:13:55
20,32,2025-02-14,500.00,452.49,47.51,2026-05-02 07:13:55
21,33,2025-03-03,388.89,350.35,38.54,2026-05-02 07:13:55
22,34,2025-02-24,416.67,368.73,47.94,2026-05-02 07:13:55
23,35,2025-03-31,437.50,383.77,53.73,2026-05-02 07:13:55
24,36,2025-03-22,450.00,384.62,65.38,2026-05-02 07:13:55
25,37,2025-02-09,366.67,314.74,51.93,2026-05-02 07:13:55
26,39,2024-11-04,250.00,211.86,38.14,2026-05-02 07:13:55
27,40,2024-04-19,1562.50,1446.76,115.74,2026-05-02 07:13:55
28,41,2024-08-11,1250.00,1126.13,123.87,2026-05-02 07:13:55
29,42,2024-12-18,833.33,764.53,68.80,2026-05-02 07:13:55
30,43,2025-01-04,444.44,395.06,49.38,2026-05-02 07:13:55
31,46,2025-11-27,321.33,222.36,98.97,2026-05-02 07:13:55
32,47,2026-03-02,299.50,232.19,67.31,2026-05-02 07:13:55
33,48,2026-05-10,729.00,566.13,162.87,2026-05-02 07:13:55
34,49,2026-02-25,147.50,107.70,39.80,2026-05-02 07:13:55
35,50,2025-07-26,121.33,90.15,31.18,2026-05-02 07:13:55
36,51,2025-11-29,224.33,158.99,65.34,2026-05-02 07:13:55
37,52,2026-03-12,163.00,113.69,49.31,2026-05-02 07:13:55
38,53,2026-03-01,490.50,372.86,117.64,2026-05-02 07:13:55
39,55,2026-04-24,363.67,301.15,62.52,2026-05-02 07:13:55
40,56,2025-12-22,308.33,214.30,94.03,2026-05-02 07:13:55
41,57,2026-02-06,343.00,267.28,75.72,2026-05-02 07:13:55
42,59,2025-12-11,269.00,199.60,69.40,2026-05-02 07:13:55
43,60,2025-06-24,802.00,642.06,159.94,2026-05-02 07:13:55
44,62,2026-05-08,552.50,398.23,154.27,2026-05-02 07:13:55
45,63,2025-11-20,188.50,128.08,60.42,2026-05-02 07:13:55
46,64,2025-10-08,374.50,273.66,100.84,2026-05-02 07:13:55
47,65,2025-12-20,79.00,64.97,14.03,2026-05-02 07:13:55
48,66,2025-07-19,273.00,199.10,73.90,2026-05-02 07:13:55
49,67,2025-12-30,370.50,265.12,105.38,2026-05-02 07:13:55
50,68,2025-06-03,358.00,273.07,84.93,2026-05-02 07:13:55
51,69,2026-02-15,221.33,151.00,70.33,2026-05-02 07:13:55
52,70,2025-10-21,327.67,270.42,57.25,2026-05-02 07:13:55
53,71,2025-07-23,887.00,645.47,241.53,2026-05-02 07:13:55
54,72,2025-08-27,165.00,135.71,29.29,2026-05-02 07:13:55
55,73,2026-01-25,537.50,433.75,103.75,2026-05-02 07:13:55
56,74,2026-03-16,508.00,402.12,105.88,2026-05-02 07:13:55
57,75,2026-05-05,281.33,222.93,58.40,2026-05-02 07:13:55
58,76,2026-05-15,141.00,114.23,26.77,2026-05-02 07:13:55
59,78,2025-10-05,465.00,320.69,144.31,2026-05-02 07:13:55
60,80,2025-10-08,101.50,78.10,23.40,2026-05-02 07:13:55
61,82,2026-05-28,188.33,128.33,60.00,2026-05-02 07:13:55
62,85,2025-06-22,411.00,285.40,125.60,2026-05-02 07:13:55
63,86,2025-12-08,377.50,307.31,70.19,2026-05-02 07:13:55
64,87,2026-03-17,227.33,187.21,40.12,2026-05-02 07:13:55
65,89,2025-09-19,356.00,271.51,84.49,2026-05-02 07:13:55
66,90,2026-02-22,280.00,201.92,78.08,2026-05-02 07:13:55
67,91,2025-10-14,114.33,95.00,19.33,2026-05-02 07:13:55
68,92,2025-09-07,520.00,386.50,133.50,2026-05-02 07:13:55
69,93,2026-05-02,210.33,155.14,55.19,2026-05-02 07:13:55
70,94,2025-08-11,351.00,235.33,115.67,2026-05-02 07:13:55
71,95,2026-02-27,1182.00,836.52,345.48,2026-05-02 07:13:55
128,54,2026-03-27,327.00,261.60,65.40,2026-05-02 07:13:55
129,61,2025-11-11,506.50,405.20,101.30,2026-05-02 07:13:55
130,77,2025-12-25,413.00,330.40,82.60,2026-05-02 07:13:55
131,79,2025-10-07,189.50,151.60,37.90,2026-05-02 07:13:55
132,81,2025-08-09,500.50,400.40,100.10,2026-05-02 07:13:55
133,84,2025-08-30,113.67,90.93,22.74,2026-05-02 07:13:55
134,88,2025-08-16,1194.00,955.20,238.80,2026-05-02 07:13:55
135,22,2024-10-01,1000.00,800.00,200.00,2026-05-02 07:13:55
136,31,2024-09-19,550.00,440.00,110.00,2026-05-02 07:13:55
137,38,2024-10-15,500.00,400.00,100.00,2026-05-02 07:13:55
138,8,2024-07-01,250.00,200.00,50.00,2026-05-02 07:13:55
139,14,2024-09-14,375.00,300.00,75.00,2026-05-02 07:13:55
140,13,2024-07-31,500.00,400.00,100.00,2026-05-02 07:13:55
141,30,2024-07-31,900.00,720.00,180.00,2026-05-02 07:13:55
142,29,2024-07-15,300.00,240.00,60.00,2026-05-02 07:13:55
143,83,2026-03-14,242.00,193.60,48.40,2026-05-02 07:13:55
144,15,2024-07-20,600.00,480.00,120.00,2026-05-02 07:13:55
145,28,2024-06-09,400.00,320.00,80.00,2026-05-02 07:13:55
146,7,2023-12-11,333.33,266.67,66.66,2026-05-02 07:13:55
147,58,2025-09-06,564.50,451.60,112.90,2026-05-02 07:13:55
148,45,2024-03-23,400.00,320.00,80.00,2026-05-02 07:13:55
149,9,2024-03-29,1000.00,800.00,200.00,2026-05-02 07:13:55
150,44,2024-02-29,625.00,500.00,125.00,2026-05-02 07:13:55
151,10,2023-10-15,666.67,533.33,133.34,2026-05-02 07:13:55
