transaction_id,hashed_mobile,transaction_date,transaction_type,amount,balance_after,created_at
1,04ef59c94224ed42fa7642ab4c6e007d76f322df9a7d7a1030eb9d252e70b42b,2026-02-19 07:13:55,savings_withdrawal,118.43,490.21,2026-05-02 07:13:55
2,056dfd624ebc56eb59a1206b7ea9bae4522b63ad82d334790a0710ccd3190ceb,2026-01-04 07:13:55,send,121.22,2087.62,2026-05-02 07:13:55
3,07bb62297dec29f54320df0e29ea28c1d7648f0b27557c2ab192ae70feded1d7,2026-01-12 07:13:55,airtime_topup,375.48,246.15,2026-05-02 07:13:55
4,0ab56ce0807bc59896ad8f8c01cb1563de3fbb85128834c968294596a34800d2,2026-03-01 07:13:55,savings_deposit,359.66,1232.99,2026-05-02 07:13:55
5,0b22d060f3ee471e44d30acdaabfea2b61041f087d5a782912bd8d13d183be4b,2025-08-07 07:13:55,savings_withdrawal,340.82,878.21,2026-05-02 07:13:55
6,0d3e6e2b82f4b21d2b539b8983cc7d7b28f21b2caa2f525e1467053cdb6c4006,2025-05-17 07:13:55,savings_deposit,158.31,1252.17,2026-05-02 07:13:55
7,19c534d7f297cde7cc2806b40800e13f1a4faf1aa452fc6186f0c154922adbaa,2025-05-06 07:13:55,receive,85.38,260.72,2026-05-02 07:13:55
8,1a1b77d804b75acd9c9ea92d03853491cee888b7294afec52256c8257a2629cf,2025-05-21 07:13:55,airtime_topup,351.93,1899.79,2026-05-02 07:13:55
9,1b0ac0bc4c229114c69a87f9526fa048035018daeac39d9fb42486942851447a,2025-11-20 07:13:55,airtime_topup,187.35,408.99,2026-05-02 07:13:55
10,1c857ebbd8b42217b36b4ea2585209f9028ef108bfd7853fd2eb22204d523a42,2025-08-17 07:13:55,send,143.62,301.42,2026-05-02 07:13:55
11,28456167d4aa807497c7cf60994f9969f678359a3567c198ac831caf3d5877e7,2025-08-19 07:13:55,receive,475.00,157.37,2026-05-02 07:13:55
12,2b04aaad7b2cc4f93fdf980f7d1ad6bfa629c015c41d091dc5130ca6a764523b,2025-12-25 07:13:55,savings_deposit,182.50,1463.63,2026-05-02 07:13:55
