history_id,borrower_id,old_score,new_score,change_reason,score_date,model_version,created_at
1,1,580,615,initial_assessment,2026-04-14,v1.0,2026-05-02 07:13:56
2,2,791,835,initial_assessment,2026-04-13,v1.0,2026-05-02 07:13:56
3,3,451,478,initial_assessment,2026-04-07,v1.0,2026-05-02 07:13:56
4,4,490,516,initial_assessment,2026-04-28,v1.0,2026-05-02 07:13:56
5,5,587,594,initial_assessment,2026-04-24,v1.0,2026-05-02 07:13:56
6,6,605,650,initial_assessment,2026-04-09,v1.0,2026-05-02 07:13:56
7,7,451,455,initial_assessment,2026-04-27,v1.0,2026-05-02 07:13:56
8,8,605,635,initial_assessment,2026-04-18,v1.0,2026-05-02 07:13:56
9,9,299,327,initial_assessment,2026-04-19,v1.0,2026-05-02 07:13:56
10,10,516,544,initial_assessment,2026-04-18,v1.0,2026-05-02 07:13:56
11,11,812,843,initial_assessment,2026-04-10,v1.0,2026-05-02 07:13:56
12,12,676,716,initial_assessment,2026-04-08,v1.0,2026-05-02 07:13:56
13,13,533,569,initial_assessment,2026-04-29,v1.0,2026-05-02 07:13:56
14,14,550,571,initial_assessment,2026-04-09,v1.0,2026-05-02 07:13:56
15,15,791,823,initial_assessment,2026-04-07,v1.0,2026-05-02 07:13:56
16,16,638,656,initial_assessment,2026-04-24,v1.0,2026-05-02 07:13:56
17,17,689,705,initial_assessment,2026-04-10,v1.0,2026-05-02 07:13:56
18,18,346,383,initial_assessment,2026-04-17,v1.0,2026-05-02 07:13:56
19,19,412,429,initial_assessment,2026-04-26,v1.0,2026-05-02 07:13:56
20,20,308,357,initial_assessment,2026-04-24,v1.0,2026-05-02 07:13:56
21,21,747,771,initial_assessment,2026-04-16,v1.0,2026-05-02 07:13:56
22,22,470,486,initial_assessment,2026-04-03,v1.0,2026-05-02 07:13:56
23,23,641,688,initial_assessment,2026-04-08,v1.0,2026-05-02 07:13:56
24,24,497,503,initial_assessment,2026-04-24,v1.0,2026-05-02 07:13:56
25,25,669,671,initial_assessment,2026-04-21,v1.0,2026-05-02 07:13:56
26,26,530,564,initial_assessment,2026-04-22,v1.0,2026-05-02 07:13:56
27,27,301,337,initial_assessment,2026-04-16,v1.0,2026-05-02 07:13:56
28,28,794,825,initial_assessment,2026-04-19,v1.0,2026-05-02 07:13:56
29,29,569,584,initial_assessment,2026-04-25,v1.0,2026-05-02 07:13:56
30,30,406,418,initial_assessment,2026-04-15,v1.0,2026-05-02 07:13:56
31,31,534,541,initial_assessment,2026-04-03,v1.0,2026-05-02 07:13:56
32,32,488,513,initial_assessment,2026-04-15,v1.0,2026-05-02 07:13:56
33,33,517,534,initial_assessment,2026-04-03,v1.0,2026-05-02 07:13:56
34,34,588,633,initial_assessment,2026-04-16,v1.0,2026-05-02 07:13:56
35,35,662,666,initial_assessment,2026-04-09,v1.0,2026-05-02 07:13:56
36,36,369,402,initial_assessment,2026-04-04,v1.0,2026-05-02 07:13:56
37,37,553,589,initial_assessment,2026-04-09,v1.0,2026-05-02 07:13:56
38,38,431,470,initial_assessment,2026-04-14,v1.0,2026-05-02 07:13:56
39,39,351,382,initial_assessment,2026-04-23,v1.0,2026-05-02 07:13:56
40,40,296,330,initial_assessment,2026-04-18,v1.0,2026-05-02 07:13:56
41,41,693,714,initial_assessment,2026-04-12,v1.0,2026-05-02 07:13:56
42,42,759,764,initial_assessment,2026-04-17,v1.0,2026-05-02 07:13:56
43,43,418,428,initial_assessment,2026-04-16,v1.0,2026-05-02 07:13:56
44,44,761,768,initial_assessment,2026-04-30,v1.0,2026-05-02 07:13:56
45,45,338,338,initial_assessment,2026-04-10,v1.0,2026-05-02 07:13:56
46,46,620,655,initial_assessment,2026-04-24,v1.0,2026-05-02 07:13:56
47,47,633,646,initial_assessment,2026-04-17,v1.0,2026-05-02 07:13:56
48,48,344,386,initial_assessment,2026-04-13,v1.0,2026-05-02 07:13:56
49,49,441,472,initial_assessment,2026-04-24,v1.0,2026-05-02 07:13:56
50,50,579,601,initial_assessment,2026-04-20,v1.0,2026-05-02 07:13:56
